"Composant Nom du composant tel qu'il est exporte par le DS | LECON TRANSVERSALE (ligne OrigamSection retiree le 2026-08-26 ; verdict bloquant pose le 2026-08-21 par scribe-tableau-2 ; ticket #453) : composant EXPORTE dans le package npm alors qu'il etait un stub vide - <div> sans aucun <slot/>, zero props, zero defineSlots. Le .md etait honnete (bandeau WIP explicite) ; la story ne l'etait PAS : ses Variants Default et Slots - Default passaient du contenu enfant que le composant ne pouvait pas afficher, donc une boite vide alors que le control Content pretendait agir dessus. A retenir : une story qui expose un control sans effet ment plus fort qu'une doc absente, et un verdict bloquant inscrit ici ne vaut que s'il ressort en ticket.",Famille Dossier de la famille dans components/ — une famille se deplace d'un bloc,Composants dans la famille Nombre de composants dans la famille — indique le poids de l'inspection,C1 Rendu distinct Chaque valeur de prop produit-elle un rendu DISTINCT ? Pas la classe emise : la regle SCSS existe-t-elle et le style calcule change-t-il ?,"C2 Canal du theme Le canal du theme est-il intact ? Aucune valeur en dur (px, couleur) n'ecrase un token --origam-xxx---*",C3 Reactivite Changer la prop APRES le montage change-t-il le rendu ? Attendre nextTick (souvent 2 fois) avant de lire le DOM,"C4 ADR-005 ADR-005 : aucune lecture eagerly dans le corps de setup() — le resolveur ecrit dans beforeCreate, donc APRES","C5 Emits assertes Les emits declares partent-ils reellement, et un test le prouve-t-il ? Verifier que emit( est bien appele quelque part","C6 Semantique / a11y HTML semantique et a11y : element natif plutot que div, pas d'ARIA redondant, content model respecte, aucun attribut parasite qui fuit",C7 Story + doc Story et doc refletent-elles l'API vivante ? Distinguer la doc ABSENTE de la doc MENSONGERE,"C8 Zero chaine en dur Zero chaine en dur destinee a l'utilisateur, y compris aria-label, placeholder et valeurs par defaut de props","Gravite max Gravite du pire defaut trouve : bloquant = perte de donnees, prop morte, a11y cassee",Statut Ou en est l'inspection de ce composant,Inspecteur,Date,Preuve / lien,Ticket,Notes,"Module cible Module npm installable dans lequel ira ce composant (#14 / ADR-006). A TRANCHER par le mainteneur : l'affectation est une decision, pas une deduction","Dependances inter-familles MESURE : familles dont ce composant consomme un symbole (type, enum, const, interface). Commons exclu. Un tiret = aucune. Ces liens sont ce qui bloque le decoupage en modules","defineProps + interface defineProps<IXxxProps>() typé par générique, interface I-préfixée rangée dans src/interfaces/**","defineEmits + interface defineEmits<IXxxEmits>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun emit relais atteignable","defineSlots + interface defineSlots<IXxxSlots>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun <slot> dans le template, OU si les slots sont forwardes dynamiquement (v-for sur $slots) : un critere techniquement impossible a satisfaire ne s'applique pas. Cas OrigamChart et OrigamContextualMenu — passthroughs transparents ou typer defineSlots casse la compilation (TS7053) ou ment sur la surface acceptee.",Remarque,col24,col25
OrigamOverlayScrim,Overlay,2.0,defaut,conforme,conforme,conforme,defaut,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"grep tag dans OrigamOverlayScrim.vue = vide, root toujours <div> en dur malgre ITagProps + control Tag dans la story. Story Functional bind :disabled=state.disabled sur un prop qui n'existe dans AUCUNE interface etendue (verifie ICommonsComponentProps/ITagProps/ITransitionComponentProps/IScrimProps). Doc L: table tokens liste --border-radius/--position comme var() alors que le SCSS les a en dur (border-radius: inherit; position: fixed;)",J157,"click/mouseenter/mouseleave sont reellement emis (handleClick/handleMouseenter/handleMouseleave cablent les emits) mais aucun test e2e/TU dedie ne le prouve directement (seulement via Drawer/Dialog/Picker) - d'ou C5 defaut plutot que bloquant. Composant petit, defauts cosmetiques/doc, pas de perte fonctionnelle pour le consommateur final.",,Transition,conforme,conforme,conforme,,,
OrigamPagination,Pagination,1.0,conforme,conforme,conforme,defaut,defaut,defaut,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"tag defaut = div (withDefaults L221) + role=navigation en dur, alors que le doc L60 dit explicitement <nav>. setValue() L572 emet reellement first/prev/next/last (L525/533/541/549) mais pagination.spec.ts liste les Variants 3-6 Events sans AUCUN test dessus (seul update:modelValue a un test, qui ne verifie que le rendu pas la valeur). props.start lu eager L257 dans useVModel(props,'modelValue',props.start), flag par setup-reads.mjs ; toutes les autres refs a start passent par le computed L300",conforme,"Fichier de 920 lignes, C1/C2/C3/C8 verifies par lecture + les 22 tests e2e existants (color, compact, disabled, info, slots) qui couvrent bien le rendu visuel. Les emits ne sont PAS morts (contrairement a #445/#446) - juste non testes.",,-,conforme,conforme,conforme,,,
OrigamParallax,Parallax,3.0,conforme,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,-,#436,OrigamChartGauge,,-,conforme,conforme,conforme,,,
OrigamParallaxElement,Parallax,3.0,conforme,defaut,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,-,#436,"Aucun emit declare (IParallaxElementProps n'a pas d'interface Emits) donc rien a casser pour C5. useParallaxTransform (transform.composable.ts) encapsule tout dans des computed() reellement lazy - pas d'eager read. 5 tests e2e couvrent border/padding/strength/transition-property avec assertions de style reelles. ; Complement (2e lecture): --origam-parallax__element---transition-duration declare et compile mais jamais lu - transitionDuration est calculee inline depuis parallax.duration.value (Ref fourni par le parent), jamais depuis le token CSS. OrigamParallaxElement.md L168-179 liste ce token comme 'consumed' dans le tableau Design tokens alors que le texte juste en dessous admet que la valeur est appliquee inline depuis le parent - contradiction interne au document. C7 et C2 corriges en defaut, gravite majeur, ticket #436.",,-,conforme,conforme,conforme,,,
OrigamParallaxLayer,Parallax,3.0,conforme,conforme,defaut,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"onMounted() L69-79 fige speed/offsetX/offsetY dans un objet registry passe a parallax.register(). parallax.composable.ts lit layer.speed/layer.offsetX/layer.offsetY directement sur cet objet fige (L69-84,169,247-248), AUCUN watch() ne les remet a jour : changer ces props apres montage n'a plus aucun effet sur l'animation en cours (seul le style initial d'un seul tick reagit puis est ecrase). Zero doc (OrigamParallaxLayer.md n'existe pas) et zero story dediee (seulement teste indirectement via le multi-layer de OrigamParallax).",#449,Le rendu INITIAL est correct (offsetX/Y/speed appliques au premier paint) donc C1 conforme ; c'est la reactivite POST-montage qui casse (C3). Pas d'emit declare donc C5 conforme trivialement.,,-,conforme,conforme,conforme,,,
OrigamPasswordField,PasswordField,1.0,conforme,conforme,conforme,conforme,defaut,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"grep emits( : click:control L455, mousedown:control L445, click:clear L465, update:strength L551 - tous reellement cables. Mais password-field.spec.ts ne visite JAMAIS variantUrl(4)/(5)/(6) (click:control/mousedown:control/focus&blur) malgre le header qui les liste - seul update:strength (variant 7) a des tests reels (segments, data-strength-score). Pas d'eager read (absent du guard setup-reads.mjs). role= est bindable (pas en dur). Doc slots (info/counter/field) alignes avec l'interface.",#58,"Mesure runtime #421 : id exclu du filterProps vers origam-input, id consommateur perdu sur le vrai input. CORRIGE (df0e20e0) : id retire de la liste d'exclusion. Test rouge->vert (password-field-id.spec.ts). Commit 94371ade. | Audit C1-C8 complete par scribe-tableau-2 (2026-08-21) : emits reellement cables mais 3 Variants Events (click:control/mousedown:control/focus&blur) jamais testes - meme pattern qu'Overlay/Pagination, suivi systemique #58.",,"Field, Input, Menu, TextField",conforme,conforme,conforme,,,
OrigamPicker,Picker,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,Composant conteneur simple (grid title/header/body/actions sur origam-sheet). Aucun emit declare (rien a casser). Tokens component/picker.json definissent bg/color/border-radius/box-shadow reellement (pas de var() orpheline). Story (landscape/hideHeader/bgColor/title/slots) alignee avec IPickerProps.,-,RAS.,,Sheet,conforme,conforme,conforme,,,
OrigamPickerTitle,Picker,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"tag reellement consomme (:is=tag, default div, doc recommande h2/h3 explicitement). color/bgColor caste via useBothColor (ancien bug deja corrige, commentaire au-dessus de l'interface documente le pre-fix). Aucun emit. Doc detaille tokens + props + notes semantiques.",-,RAS.,,-,conforme,conforme,conforme,,,
OrigamProgress,Progress,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,defaut,mineur,inspecte,scribe-tableau-2,2026-08-21,"L88 : progressAriaLabel = computed(() => props.label ?? 'Loading') - chaine anglaise en dur, 'Loading' absent de en.json, contrairement au pattern etabli ailleurs dans le DS (OtpInputField t('origam.input.otp',...), Pagination ariaLabel default = CLE i18n resolue par t()). Interface progress.interface.ts L33 documente ce choix explicitement (renvoie la responsabilite i18n au consommateur) mais diverge du reste du DS.",#450,Wrapper qui delegue a Circular/Linear selon type. Aucun emit declare. Pas d'eager read (absent du guard).,,-,conforme,conforme,conforme,,,
OrigamProgressCircular,Progress,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,Aucun emit declare. Geometrie SVG (diameter/strokeWidth/strokeDashOffset) entierement en computed() reactifs. Bug historique deja corrige et documente en commentaire (taille par defaut qui collapsait le SVG a 0x0). Pas de couleur en dur (useTextColor pour bg/loader). | OrigamProgressCircular.vue L139 Number(props.size) et L200 Number(props.rotate) -> NaN si string non numerique. git log 2d1e8b6f montre un fix mais git merge-base --is-ancestor 2d1e8b6f HEAD = false sur develop ; grep confirme Number(props.size)/Number(props.rotate) toujours presents.,CORRIGE #384 (8a2d10bd),"N'a pas son propre aria-label (delegue au parent OrigamProgress) donc n'herite pas du defaut #450. | Bug reel NON corrige sur develop : Number(props.size) L139 et Number(props.rotate) L200 -> NaN si prop string non numerique, casse le viewBox SVG. Fix signale (commit 2d1e8b6f, feature/384-nan-dimension-parse) mais git merge-base --is-ancestor confirme qu'il n'est pas dans develop -> #384 reste ouvert, gravite majeur, pas CORRIGE. | MAJ 2026-08-21 (session team-lead) : verifie independamment sur origin/develop apres fetch -> int(props.size) et int(props.rotate) remplacent bien Number(...) (commentaires L142+L218 citent #384). int() = parseInt(), confirme non-NaN sur '96px'. Bug REELLEMENT corrige. D155 repasse conforme, L155 repasse aucun, Q155 = CORRIGE #384 (8a2d10bd).",,-,conforme,conforme,conforme,,,
OrigamProgressLinear,Progress,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,Aucun emit declare. indeterminate bascule bufferValue/transition (OrigamFade vs OrigamSlideX) via computed. Pas de couleur en dur. width bind conditionnellement selon indeterminate.,-,"Meme remarque que ProgressCircular : aria-label delegue au parent, pas affecte par #450.",,-,conforme,conforme,conforme,,,
OrigamQrCode,QrCode,1.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,defaut,mineur,inspecte,scribe-tableau-2,2026-08-21,"L200-204 : resolvedAriaLabel retombe sur le template litteral `QR code for ${props.value}` si ni ariaLabel ni title ne sont fournis - chaine anglaise en dur, absente de en.json, meme famille de bug que #450 (Progress 'Loading'). Aucun emit declare (composant pur SVG, defineExpose({svg}) seulement). role=img correctement utilise (pas de div+role redondant).",#451,"Composant tres bien documente (commentaires expliquent chaque plan de style, 2 canaux couleur wrapper/matrice SVG). Injection SVG via watchEffect + innerHTML, sanitization documentee comme faite dans useQrCode.",,-,conforme,conforme,conforme,,,
OrigamRadio,Radio,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"density flue correctement Radio-props->RadioBtn(filterProps)->SelectionControl useDensity()->densityClasses (bug historique #50 deja corrige, confirme par lecture des 3 fichiers). click:label reellement emis (L186) ET teste (radio.spec.ts Events - click:label). Aucune couleur/chaine en dur.",-,"RAS - composant sain, dette historique resolue.",,Input,conforme,conforme,conforme,,,
OrigamRadioBtn,Radio,3.0,conforme,conforme,conforme,conforme,defaut,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"click:label reellement emis (L109) mais AUCUN e2e dedie (pas de radio-btn.spec.ts, seul radio.spec.ts existe pour toute la famille et cible OrigamRadio, pas OrigamRadioBtn standalone). density correctement forwarde vers SelectionControl. Story dediee existe (OrigamRadioBtn.story.vue) mais jamais visitee par un test.",#58,"Meme pattern systemique #58 (emit correct, non teste isolement). Pas de nouveau ticket.",,SelectionControl,conforme,conforme,conforme,,,
OrigamRadioGroup,Radio,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"Interface IRadioGroupEmits documente un bug HISTORIQUE deja corrige (double invocation update:modelValue via $attrs faute d'emits declare) - preuve : packages/tests/TU/origam/relay-emits-declaration.spec.ts. Etat actuel : emits declare correctement, plus de double-appel.",-,Aucun e2e dedie radio-group.spec.ts trouve mais le bug historique est deja couvert par un TU (relay-emits-declaration.spec.ts) donc pas de gap C5 nouveau a signaler.,,"Input, SelectionControl",conforme,conforme,conforme,,,
OrigamRatingField,RatingField,2.0,conforme,conforme,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"L59-62/93-96 : v-if verifie slots['itemLabel.'+index] (per-index) mais le rendu interne tente slot name=itemLabel (generique) - si le consommateur ne fournit QUE le slot generique #itemLabel, le v-if est faux et RIEN ne s'affiche (ni le slot ni le fallback span). hasLabels(L287) traite pourtant le slot generique comme suffisant. Deja capture comme regression baseline dans rating-field.spec.ts ('DS slot-gate bug noted') mais aucun ticket GitHub n'existait.",#452,aria-label clear button correctement traduit (t('origam.rating.clear')). IRatingFieldEmits n'ajoute rien a ICommonsComponentEmits (v-model gere par useVModel standard).,,Input,conforme,conforme,conforme,,,
OrigamRatingFieldItem,RatingField,2.0,conforme,conforme,conforme,conforme,defaut,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"click/mouseenter/mouseleave reellement emis (L124,127,130) sur origam-btn interne. rating-field.spec.ts liste des Variants Events (click/mouseenter/mouseleave, index 2-4 dans l'en-tete) mais aucun test() ne navigue vers ces variantId - seul update:modelValue (index reel different) a un test qui clique sans verifier l'emission. Semantique excellente : label for + input radio natif type=radio, aria-label via t(itemAriaLabel,...).",#58,"Pattern systemique #58, pas de nouveau ticket. Composant tres propre sinon (i18n, HTML semantique natif).",,Btn,conforme,conforme,conforme,,,
OrigamResponsive,Responsive,1.0,defaut,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"SCSS __sizer definit --origam-responsive__content---margin-inline-start:-100% via selecteur ~ mais __content lit margin: var(--origam-responsive__content---margin) - NOM DIFFERENT, jamais connecte. Le contenu n'est donc JAMAIS superpose au sizer (pattern aspect-ratio-box casse, double hauteur au lieu d'overlay). aspectStyles (padding-block-end) fonctionne car il est inline, independant du bug. Root vars (display/flex/position/etc.) n'ont ni token ni fallback (component/responsive.json ne matche aucun nom reel).",#454,"Aucun e2e dedie (pas de responsive.spec.ts). Bug trouve par lecture directe du SCSS, pas par test.",,-,conforme,conforme,conforme,,,
OrigamSelect,Select,1.0,conforme,defaut,conforme,conforme,defaut,conforme,defaut,conforme,majeur,inspecte,scribe-tableau-2,2026-08-21,"OrigamSelect.vue L919-924 chipSlotProps bgColor/color RGB en dur (pas de var()). grep emit( = 0 resultat dans le fichier -> click:control declare (ISelectEmits) mais jamais emis. mousedown:control catche du child TextField L20 (@mousedown:control=handleMousedownControl) mais jamais reemis vers le consommateur. select.spec.ts L263 n'asserte pas l'emit (teste juste que le champ est visible), aucun test pour mousedown:control.",#456,"Story L209-246 mensongere : Variants Events - click:control / mousedown:control wirent logEvent mais l'emit ne peut structurellement jamais partir. Doc n'en parle pas (absente, pas mensongere). Meme cluster que #445/#446/#448, suivi #58.",,"Chip, Form, List, Menu, TextField, Transition, VirtualScroll",conforme,conforme,conforme,,,
OrigamSelectionControl,SelectionControl,2.0,conforme,conforme,conforme,conforme,defaut,conforme,defaut,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"OrigamSelectionControl.vue L258 handleClickLabel emet reellement click:label (@click L64), et update:modelValue standalone passe par useVModel. Mais aucun test (e2e selection-control.spec.ts ne teste que border/rounded/elevation ; aucun TU dedie a OrigamSelectionControl seul, seul OrigamSelectionControlGroup.spec.ts existe et teste le GROUPE).",#58,"Story L128-135 a un Variant Events - click:label reel (pas mensonger, le code marche), mais aucun test e2e/TU ne l'assert. Doc emits table correcte (L252-262). Meme cluster #58 (emits non assertes).",,Label,conforme,conforme,conforme,,,
OrigamSelectionControlGroup,SelectionControl,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"RAS - composant propre. OrigamSelectionControlGroup.spec.ts (TU) documente et repare DEUX bugs produits historiques (model asymetrique, cascade provideDefaults) avec assertion sur le PAYLOAD reel de update:modelValue, pas juste truthy. e2e selection-control-group.spec.ts L290 teste explicitement l'emit via le Variant Events. role=group juge suffisant (pas de legend visible requise pour ce wrapper generique).",-,"Exemple positif a citer : composant + TU + e2e alignes, aucune divergence trouvee.",,-,conforme,conforme,conforme,,,
OrigamSheet,Sheet,1.0,conforme,conforme,conforme,conforme,defaut,defaut,defaut,defaut,mineur,inspecte,scribe-tableau-2,2026-08-21,"OrigamSheet.vue L18 aria-label=""Drag handle"" en dur, jamais t(). L16-22 div role=button+tabindex=0+keydown Enter/Space reimplemente au lieu d'un <button> natif. update:snap/update:open (L160,164) sont des VRAIS emit() (pas comme Select), story L139-173 les wire correctement (pas mensonger), mais aucun test e2e/TU n'assert ces emissions sur le composant (seul sheetSwipe.composable.spec.ts existe, teste le composable pas le wiring emit).",#461,"Doc Events (L87-92) correcte et honnete. Doc Accessibilite (L157-163) ne mentionne ni le label en dur ni le choix div/role=button - absence, pas mensonge. Gap de test rattache au cluster #58.",,-,conforme,conforme,conforme,,,
OrigamSkeleton,Skeleton,1.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,defaut,mineur,inspecte,scribe-tableau-2,2026-08-21,"OrigamSkeleton.vue L12,L31,L46 : aria-label=""Loading"" en dur, x3 identiques. Pire que #450 (Progress) : ISkeletonProps ne declare AUCUNE prop label, zero canal d'override/traduction possible. grep confirme que Skeleton est seul a porter exactement cette chaine (mesure faite). Reste conforme : role=status + aria-busy correctement utilises (bon choix ARIA, pas d'element natif pour un loading placeholder).",#462,"Pas d'emits (composant purement presentationnel), C5 conforme trivialement. Story/doc n'exposent aucun control pour le label car la prop n'existe pas - coherent avec l'absence, pas un mensonge.",,-,conforme,conforme,conforme,,,
OrigamSlideGroup,Slide,1.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"RAS. Faux positif ecarte : les affixes prev/next (divs sans role/tabindex/aria-label) semblaient d'abord un defaut C6 (mouse-only), mais OrigamSlideGroup.md L129-136 documente explicitement le choix : ils perdent le focus via mousedown pour que la navigation clavier reste sur le container (roving tabindex L7, ArrowLeft/Right/Home/End geres par handleKeydown). Design intentionnel et documente, pas un bug. Plusieurs bugs historiques deja corriges et commentes dans le code (icones prev/next inversees, flip RTL, classe disabled copie-collee next/prev).",-,"Composant mature, pas de defaut trouve apres verification (doc lue avant de conclure a un bug).",,-,conforme,conforme,conforme,,,
OrigamSliderField,SliderField,2.0,conforme,conforme,conforme,conforme,conforme,conforme,defaut,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"3 couleurs RGB en dur hors var() : L1233 error color:rgba(255,0,0,1), L1254 rail horizontal background-color:rgb(148,148,148), L1544 thumb color:rgba(66,66,66,1). Contraste avec le reste du fichier, bien tokenise. start/end (L800,804) sont des VRAIS emit() (pas comme Select), mais slider-field.spec.ts Events-start/end (L178-197) ne verifient que la visibilite, jamais l'emission au pointerdown/pointerup - meme motif evasif que select.spec.ts. Bon exemple ADR-005 par ailleurs : commentaire L513-535 documente et evite deliberement un eager-read sur le 3e argument de useVModel.",#465,"Story/doc corrects sur les emits (pas mensonger), gap de test rattache a #58. Bon exemple de fix rounded documente (#283, L902-921).",,Input,conforme,conforme,conforme,"Le composant est diviser en 2 ca ne vas pas, il faut revoir cela pour que le variant soit juste un changement css et non tout une revu html... normalement on utilise OrigamInput si le design pour l'audio n'est pas possible avec cela, il faut le sortir du composant OrigamSliderField et créer une composant dans OrigamAudio specifique a celui la",,
OrigamSliderFieldTrack,SliderField,2.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"Pire que le parent (#465) : 4 couleurs RGB en dur SANS aucun var() du tout (L258 background rgb(148,148,148), L262 fill rgba(84,84,84,1), L278 tick rgba(66,66,66,1), L288 tick--filled rgba(238,238,238,1)), zero canal de theme meme en fallback. border-radius L239 aussi en dur. Emits: aucun (composant purement presentationnel, conforme trivialement). Doc ne pretend pas de tokenisation ici (absence, pas mensonge).",#465,Complement ajoute a #465 (commentaire) plutot qu'un nouveau ticket - meme famille visuelle que le parent SliderField.,,-,conforme,conforme,conforme,,,
OrigamSnackbar,Snackbar,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"RAS. Couleurs status (success/info/warning/danger) toutes bien tokenisees via var(--origam-color__feedback--x---y). Timer/timeout deferre correctement (watch+onMounted), pas d'eager read (guard setup-reads.mjs ne signale rien pour Snackbar seul - 1 hit signale pour SnackbarGroup, voir ligne suivante). Aucun emit custom (update:modelValue via useVModel suffit pour ouverture/fermeture).",-,Composant propre.,,"Overlay, Transition",conforme,conforme,conforme,,,
OrigamSnackbarGroup,Snackbar,3.0,conforme,conforme,defaut,defaut,conforme,conforme,conforme,defaut,mineur,inspecte,scribe-tableau-2,2026-08-21,"Guard setup-reads.mjs signale explicitement SnackbarGroup [id] : L90 useSnackbarGroupInternal(props.id) est un appel eager au niveau racine de setup(), pas dans un computed/watch. Un theme sur 'origam-snackbar-group'.id est ignore par le store (resolvedDomId L210 lui reagit correctement, seul rawItems reste fige). L7 aria-label='Notifications' et L23 dismiss-label='Dismiss notification' en dur, jamais t(). Bug historique defaultDuration (#31 memoire) verifie CORRIGE : watch L98-100 wire bien registerDefaultDuration de facon reactive.",#469,"Pas d'emits declares (defineEmits absent), notify/dismiss pilotes par composable externe useSnackbarGroup. role=region + aria-live/role dynamiques par intent (status/alert, polite/assertive) bien concus.",,-,conforme,conforme,conforme,,,
OrigamSnackbarItem,Snackbar,3.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"RAS. Bug historique prepend (#34 memoire) verifie CORRIGE : hasPrepend L185-187 decouple bien du Boolean-union (resolvedIcon!==false || slots.prepend). dismissLabel utilise correctement t('origam.snackbar.dismiss', 'Dismiss notification') via useLocale (L118) - a l'inverse de SnackbarGroup qui duplique la meme chaine en dur au lieu de reutiliser cette cle (voir #469). emit('dismiss') et emit('action') reellement testes : snackbar-item.spec.ts L142 asserte le vrai passage par le event log, pas juste la visibilite (contraste avec Select/SliderField).",-,"Bon exemple a citer : i18n correcte + tests d'emits reels, pattern a repliquer sur Select/SliderField/Sheet.",,Icon,conforme,conforme,conforme,,,
OrigamStepper,Stepper,2.0,conforme,conforme,conforme,defaut,conforme,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"Guard setup-reads.mjs signale Stepper [modelValue] : L84 const internalModel=ref(props.modelValue??0) est un eager read au niveau racine de setup(), avant que le resolveur ADR-005 patche instance.props. Le watch L86-88 gere bien les changements REACTIFS ulterieurs (teste par OrigamStepper.spec.ts, describe prop-to-internal sync) mais rate la valeur INITIALE si themee. update:modelValue est reellement teste en TU (emitted() reel L147, plus test negatif clickable=false L137) - e2e reste sur 'no error thrown' par limitation documentee (logEvent Histoire non observable depuis la page externe), pas de la paresse.",#470,"aria-label correctement i18n (t('origam.stepper.progress_steps',...)). nav + aria-hidden connecteurs bien concus.",,-,conforme,conforme,conforme,,,
OrigamStepperItem,Stepper,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"RAS. Guard setup-reads.mjs ne signale rien pour StepperItem. emit('click', index) reellement teste (emitted() + verification du payload L114-115 OrigamStepperItem.spec.ts). Bug historique isClickable Boolean-coercion deja corrige et abondamment regression-teste (5 cas L68-101). aria-label i18n avec interpolation positionnelle t('origam.stepper.step_aria_label', index+1, title). component :is dynamique button/div selon interactivite - bon choix semantique.",-,"Composant exemplaire, aucun defaut trouve.",,-,conforme,conforme,conforme,,,
OrigamSwitch,Switch,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,scribe-tableau-2,2026-08-21,"L520-521 &--error background-color:rgba(255,0,0,1) + color:rgba(255,255,255,1) en dur, sans var(), a l'inverse du reste du fichier (ex L557 bien tokenise). Guard setup-reads.mjs propre (aucun hit Switch). loadingLabel utilise correctement t('origam.loading') (contraste avec Progress #450/Skeleton #462 qui hardcodent 'Loading'). Bug historique thumb tint (v2.0-v2.1, L335-350) documente et non regresse.",#471,"aria-checked=mixed pour indeterminate, aria-describedby, role=status pour skeleton - a11y correcte.",,"Input, Progress, SelectionControl",conforme,conforme,conforme,,,
OrigamSwitchTrack,Switch,2.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,mineur,inspecte,scribe-tableau-2,2026-08-21,"L252-253 &--error background-color:rgba(255,0,0,1) + color:rgba(255,255,255,1) en dur, sans var(), meme paire que le parent OrigamSwitch (L520-521, meme ticket #471). Contraste avec L201/L247 (background-color) bien tokenises via var(--origam-switch__track---background-color-*).",#471,"Meme defaut de tokenisation que son parent OrigamSwitch, sur le meme selecteur &--error. Reste conforme sur les 7 autres criteres.",,-,conforme,conforme,conforme,,,
OrigamSystemBar,SystemBar,1.0,conforme,conforme,conforme,defaut,conforme,conforme,conforme,conforme,mineur,inspecte,agent QA,2026-08-20 / fc64f30c,"grep useLayoutItem OrigamSystemBar.vue ligne 76 : id: props.name passe au top-level de setup(), avant tout computed/watch - eager confirme (harnais). grep -c origam-system-bar light.css = 29 (tokens ok). Aucune ARIA/role dans le composant ; doc ne mentionne pas de semantique particuliere (chrome decoratif type status bar OS, comparable a un role non-landmark). -- Reference de mesure C1 (dater plutot que dire non corrige) : mesure le 2026-08-21 contre origin/develop HEAD=df0e20e0 (contient le merge #383, a43b20cb / 0a1edd00). Si develop avance encore, cette phrase reste vraie : elle decrit l'etat au HEAD cite, pas un futur.",CORRIGE #383 (a43b20cb),"C4 (toujours defaut, non lie a #383) : props.name passe eagerly a useLayoutItem() au top-level de setup(), un theme.components qui configurerait un name par defaut arriverait trop tard -- confirme par lecture directe sur le code actuel de develop, inchange par le fix #383. -- C1 CORRIGE #383 (merge a43b20cb, commit 0a1edd00) : verifie par diff de CONTENU sur origin/develop (pas seulement par SHA -- un rebase avait reecrit l'historique, git merge-base --is-ancestor mentait) : layoutItemStyles est desormais fusionne AVANT dimensionStyles dans OrigamSystemBar.vue, donc le width du consommateur gagne sur le calc() du layout. Confirme par execution reelle du test system-bar-width-in-layout.spec.ts en overlay temporaire sur un worktree jetable : rouge (1 failed) sur l'ancien code, vert (2 passed) sur le code actuel de develop -- mutation testee dans les deux sens, overlay retire ensuite. Reste propre : 29 tokens enregistres et lus, aucune chaine en dur, story+doc a jour, aucun emit orphelin.",,-,conforme,conforme,conforme,,,
